C[C@@H]1C[C@]2(C[C@@H](C)[C@H]3[C@@H](C[C@@]4(C)[C@@H]5CC[C@H]6C(C)(C)OC(=O)CC[C@@]67C[C@]57CC[C@]34C)O2)OC1=O LTS0255316
CC1=CCC23CCC(C(C)(/C=C/C=C(C)C(=O)OCC(O)CO)OC2=O)C3(O)CC1 LTS0225868
CC1(C)C2=CCCC(C)(C)[C@]23CC[C@H]1C3 LTS0255772
C=C(C)[C@@H]1CC[C@]2(C)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12 LTS0256952
CC(C)=C1C=C2CC[C@H]3[C@](C)(C=O)CCC[C@]3(C)[C@H]2CC1 LTS0092510
CC(C)(O)c1ccc2c(c1)C(O)CC1C(C)(O)CCCC21C LTS0180245
COC(=O)C1=CCC23CCC(C(C)(C=CC=C(C)C(=O)OC4OC(CO)C(O)C(O)C4O)OC2=O)C3(OC(C)=O)CC1 LTS0264985
CC(=O)[C@H]1CC[C@@H]2[C@@H]1[C@H](C(C)C)CC[C@@]2(C)O LTS0258092
CC1(C)CC[C@]23CC[C@]4(C)C(CC[C@@H]5[C@@]6(C)CC[C@H](O)C(C)(C)[C@@H]6CC[C@]54C)[C@H]2C1OC3 LTS0049641
CC1=CC[C@@]23CC[C@@H]([C@](C)(/C=C/C=C(\C)C(=O)O)OC2=O)[C@@]3(O)CC1 LTS0205091
CC(CCC(O)C(C)(C)O)C1CCC2(C)C3CCC4C(C)(CCC(O)C4(C)C)C3=CCC12C LTS0252062
CC1=CCC23CCC(C(C)(/C=C/C=C(C)C(=O)O)OC2=O)C3(O)CC1 LTS0252813
COC(=O)C1=CC[C@]23CC[C@H]([C@@]2(OC(C)=O)CC1)[C@@](C)(/C=C/C=C(\C)C(=O)O)OC3=O LTS0244215
